

lambda(m), Y
1.95e-06, 1.00223
1.94099e-06, 0.997295
1.93207e-06, 0.990919
1.92323e-06, 0.987846
1.91446e-06, 0.99038
1.90578e-06, 0.996268
1.89718e-06, 1.00156
1.88865e-06, 1.00185
1.8802e-06, 0.997998
1.87183e-06, 0.992448
1.86353e-06, 0.990623
1.8553e-06, 0.992796
1.84714e-06, 0.998143
1.83906e-06, 1.00077
1.83105e-06, 0.999265
1.8231e-06, 0.992941
1.81523e-06, 0.987708
1.80742e-06, 0.986387
1.79968e-06, 0.991533
1.792e-06, 0.997995
1.78439e-06, 1.0009
1.77685e-06, 0.994869
1.76937e-06, 0.982414
1.76195e-06, 0.969325
1.75459e-06, 0.964172
1.7473e-06, 0.970444
1.74006e-06, 0.98387
1.73289e-06, 0.991603
1.72577e-06, 0.980518
1.71871e-06, 0.950032
1.71171e-06, 0.912311
1.70477e-06, 0.89051
1.69788e-06, 0.902659
1.69105e-06, 0.938755
1.68427e-06, 0.934672
1.67754e-06, 0.867973
1.67087e-06, 0.771034
1.66426e-06, 0.692845
1.65769e-06, 0.774833
1.65118e-06, 0.560304
1.64472e-06, 0.466058
1.6383e-06, 0.360542
1.63194e-06, 0.0683274
1.62563e-06, 0.016334
1.61936e-06, 0.00541027
1.61315e-06, 0.00220583
1.60698e-06, 0.00105792
1.60086e-06, 0.000557861
1.59478e-06, 0.000332691
1.58875e-06, 0.000206424
1.58277e-06, 0.000143978
1.57683e-06, 0.000101472
1.57093e-06, 7.96769e-05
1.56508e-06, 6.32864e-05
1.55928e-06, 5.42761e-05
1.55351e-06, 4.8783e-05
1.54779e-06, 4.47277e-05
1.54211e-06, 4.56698e-05
1.53647e-06, 4.44733e-05
1.53087e-06, 5.13917e-05
1.52532e-06, 5.37731e-05
1.5198e-06, 6.95038e-05
1.51432e-06, 8.01669e-05
1.50889e-06, 0.000114641
1.50349e-06, 0.000150559
1.49813e-06, 0.000238828
1.49281e-06, 0.000370694
1.48752e-06, 0.000673652
1.48228e-06, 0.00130752
1.47707e-06, 0.00299129
1.47189e-06, 0.00843046
1.46675e-06, 0.0336991
1.46165e-06, 0.26532
1.45659e-06, 0.446089
1.45155e-06, 0.672021
1.44656e-06, 0.401059
1.4416e-06, 0.430573
1.43667e-06, 0.642499
1.43177e-06, 0.825272
1.42691e-06, 0.862933
1.42208e-06, 0.753428
1.41728e-06, 0.635942
1.41252e-06, 0.625152
1.40779e-06, 0.713999
1.40309e-06, 0.845195
1.39842e-06, 0.928143
1.39378e-06, 0.923282
1.38917e-06, 0.848459
1.3846e-06, 0.76597
1.38005e-06, 0.736693
1.37553e-06, 0.771424
1.37104e-06, 0.851203
1.36659e-06, 0.927427
1.36216e-06, 0.955723
1.35775e-06, 0.926802
1.35338e-06, 0.860473
1.34904e-06, 0.801776
1.34472e-06, 0.784469
1.34043e-06, 0.817361
1.33617e-06, 0.881987
1.33193e-06, 0.940925
1.32773e-06, 0.958321
1.32354e-06, 0.928233
1.31939e-06, 0.865422
1.31526e-06, 0.809327
1.31115e-06, 0.791148
1.30708e-06, 0.821606
1.30302e-06, 0.883501
1.299e-06, 0.939612
1.29499e-06, 0.954811
1.29101e-06, 0.92271
1.28706e-06, 0.857502
1.28313e-06, 0.79834
1.27922e-06, 0.779907
1.27534e-06, 0.812531
1.27148e-06, 0.878482
1.26765e-06, 0.934834
1.26383e-06, 0.947598
1.26004e-06, 0.911052
1.25628e-06, 0.841293
1.25253e-06, 0.779568
1.24881e-06, 0.764105
1.24511e-06, 0.802799
1.24143e-06, 0.874696
1.23778e-06, 0.929916
1.23414e-06, 0.938025
1.23053e-06, 0.8961
1.22693e-06, 0.821935
1.22336e-06, 0.760565
1.21981e-06, 0.751018
1.21628e-06, 0.797998
1.21277e-06, 0.874459
1.20928e-06, 0.925738
1.20581e-06, 0.927477
1.20236e-06, 0.880563
1.19893e-06, 0.803468
1.19552e-06, 0.745739
1.19213e-06, 0.744007
1.18876e-06, 0.799664
1.1854e-06, 0.877559
1.18207e-06, 0.922237
1.17875e-06, 0.917132
1.17545e-06, 0.866127
1.17218e-06, 0.788192
1.16892e-06, 0.736509
1.16567e-06, 0.743413
1.16245e-06, 0.806587
1.15924e-06, 0.882501
1.15605e-06, 0.918702
1.15288e-06, 0.9072
1.14973e-06, 0.852741
1.14659e-06, 0.775752
1.14347e-06, 0.730966
1.14037e-06, 0.74657
1.13728e-06, 0.815471
1.13421e-06, 0.88683
1.13116e-06, 0.913015
1.12812e-06, 0.895436
1.1251e-06, 0.836849
1.1221e-06, 0.760709
1.11911e-06, 0.721987
1.11614e-06, 0.746689
1.11318e-06, 0.821151
1.11024e-06, 0.885915
1.10731e-06, 0.898205
1.1044e-06, 0.872365
1.10151e-06, 0.804477
1.09863e-06, 0.724034
1.09576e-06, 0.69039
1.09291e-06, 0.730634
1.09008e-06, 0.817718
1.08726e-06, 0.861758
1.08445e-06, 0.840563
1.08166e-06, 0.795594
1.07888e-06, 0.692434
1.07612e-06, 0.594293
1.07337e-06, 0.592431
1.07064e-06, 0.719993
1.06792e-06, 0.685613
1.06521e-06, 0.545769
1.06252e-06, 0.559018
1.05984e-06, 0.29001
1.05717e-06, 0.109749
1.05452e-06, 0.0495278
1.05188e-06, 0.0270127
1.04925e-06, 0.016981
1.04664e-06, 0.0119591
1.04404e-06, 0.00923356
1.04145e-06, 0.0077199
1.03888e-06, 0.00695874
1.03631e-06, 0.00669337
1.03376e-06, 0.00692644
1.03123e-06, 0.00762045
1.0287e-06, 0.00907383
1.02619e-06, 0.011571
1.02369e-06, 0.0161964
1.0212e-06, 0.024826
1.01873e-06, 0.0429614
1.01626e-06, 0.0846176
1.01381e-06, 0.189682
1.01137e-06, 0.407697
1.00894e-06, 0.573251
1.00653e-06, 0.608435
1.00412e-06, 0.758804
1.00173e-06, 0.903231
9.99346e-07, 0.881681
9.96975e-07, 0.873199
9.94615e-07, 0.896517
9.92267e-07, 0.928887
9.89929e-07, 0.958871
9.87603e-07, 0.975812
9.85287e-07, 0.974446
9.82982e-07, 0.970454
9.80688e-07, 0.971334
9.78405e-07, 0.978807
9.76132e-07, 0.986343
9.7387e-07, 0.992788
9.71618e-07, 0.993981
9.69377e-07, 0.993645
9.67146e-07, 0.992703
9.64925e-07, 0.993963
9.62715e-07, 0.995116
9.60514e-07, 0.996268
9.58324e-07, 0.995949
9.56143e-07, 0.995029
9.53973e-07, 0.994403
9.51812e-07, 0.994073
9.49661e-07, 0.993882
9.4752e-07, 0.992195
9.45388e-07, 0.990493
9.43266e-07, 0.987809
9.41153e-07, 0.987443
9.3905e-07, 0.987516
9.36957e-07, 0.989081
9.34872e-07, 0.98718
9.32797e-07, 0.984268
9.30731e-07, 0.978251
9.28674e-07, 0.97432
9.26626e-07, 0.972051
9.24587e-07, 0.975652
9.22558e-07, 0.978945
9.20537e-07, 0.980211
9.18525e-07, 0.975333
9.16521e-07, 0.968229
9.14527e-07, 0.959306
9.12541e-07, 0.954752
9.10563e-07, 0.957235
9.08595e-07, 0.965193
9.06634e-07, 0.970211
9.04682e-07, 0.967844
9.02739e-07, 0.960427
9.00804e-07, 0.949188
8.98877e-07, 0.939679
8.96958e-07, 0.937148
8.95048e-07, 0.946638
8.93146e-07, 0.956358
8.91251e-07, 0.959535
8.89365e-07, 0.952543
8.87487e-07, 0.943525
8.85616e-07, 0.929629
8.83754e-07, 0.921814
8.81899e-07, 0.924497
8.80052e-07, 0.939265
8.78213e-07, 0.946729
8.76382e-07, 0.944395
8.74558e-07, 0.93472
8.72741e-07, 0.9242
8.70933e-07, 0.910604
8.69131e-07, 0.906204
8.67337e-07, 0.916306
8.65551e-07, 0.930614
8.63772e-07, 0.931756
8.62e-07, 0.921647
8.60235e-07, 0.912341
8.58478e-07, 0.90026
8.56728e-07, 0.890421
8.54985e-07, 0.891109
8.53249e-07, 0.908026
8.5152e-07, 0.913132
8.49798e-07, 0.901739
8.48083e-07, 0.884507
8.46375e-07, 0.878481
8.44673e-07, 0.867264
8.42979e-07, 0.864141
8.41291e-07, 0.875513
8.3961e-07, 0.888448
8.37936e-07, 0.862403
8.36269e-07, 0.82888
8.34608e-07, 0.821483
8.32953e-07, 0.825052
8.31306e-07, 0.823326
8.29664e-07, 0.841222
8.2803e-07, 0.843732
8.26401e-07, 0.750728
8.24779e-07, 0.691226
8.23164e-07, 0.71696
8.21554e-07, 0.767516
8.19951e-07, 0.803573
8.18354e-07, 0.759779
8.16764e-07, 0.486038
8.15179e-07, 0.429802
8.13601e-07, 0.604031
8.12029e-07, 0.835344
8.10463e-07, 0.243326
8.08903e-07, 0.137978
8.07349e-07, 0.179303
8.05801e-07, 0.401165
8.04258e-07, 0.0217085
8.02722e-07, 0.00307705
8.01192e-07, 0.000778129
7.99667e-07, 0.000273596
7.98148e-07, 9.32561e-05
7.96635e-07, 5.64347e-05
7.95128e-07, 1.76597e-05
7.93626e-07, 1.82874e-05
7.9213e-07, 4.412e-06
7.9064e-07, 7.70149e-06
7.89155e-07, 1.49943e-06
7.87676e-07, 3.77716e-06
7.86202e-07, 7.92561e-07
7.84734e-07, 2.03719e-06
7.83271e-07, 6.19984e-07
7.81814e-07, 1.18345e-06
7.80362e-07, 5.84857e-07
7.78916e-07, 7.50421e-07
7.77475e-07, 5.93504e-07
7.76039e-07, 5.43451e-07
7.74608e-07, 6.35765e-07
7.73183e-07, 4.70763e-07
7.71763e-07, 7.38543e-07
7.70348e-07, 4.91035e-07
7.68939e-07, 9.66081e-07
7.67534e-07, 5.94478e-07
7.66135e-07, 1.45693e-06
7.64741e-07, 8.19887e-07
7.63351e-07, 2.53814e-06
7.61967e-07, 1.34566e-06
7.60588e-07, 5.08389e-06
