

lambda(m), Y
7.59214e-07, 2.91519e-06
7.57845e-07, 1.18848e-05
7.56481e-07, 9.0267e-06
7.55121e-07, 3.43553e-05
7.53767e-07, 4.03817e-05
7.52417e-07, 0.000139834
7.51072e-07, 0.000278729
7.49732e-07, 0.00106306
7.48397e-07, 0.00439357
7.47067e-07, 0.0409859
7.45741e-07, 0.458601
7.4442e-07, 0.138253
7.43103e-07, 0.156448
7.41792e-07, 0.558009
7.40485e-07, 0.683895
7.39182e-07, 0.488806
7.37884e-07, 0.436712
7.36591e-07, 0.646274
7.35302e-07, 0.762588
7.34017e-07, 0.732797
7.32738e-07, 0.736709
7.31462e-07, 0.682625
7.30191e-07, 0.689069
7.28925e-07, 0.785392
7.27662e-07, 0.819686
7.26404e-07, 0.794829
7.25151e-07, 0.810375
7.23902e-07, 0.808103
7.22657e-07, 0.791362
7.21416e-07, 0.808795
7.2018e-07, 0.856541
7.18948e-07, 0.858418
7.1772e-07, 0.848107
7.16496e-07, 0.854175
7.15277e-07, 0.86143
7.14061e-07, 0.84994
7.1285e-07, 0.858909
7.11643e-07, 0.883795
7.1044e-07, 0.893608
7.09241e-07, 0.884727
7.08045e-07, 0.885996
7.06854e-07, 0.892634
7.05668e-07, 0.888274
7.04484e-07, 0.888821
7.03305e-07, 0.902248
7.0213e-07, 0.917101
7.00959e-07, 0.914368
6.99792e-07, 0.913479
6.98628e-07, 0.914744
6.97469e-07, 0.916782
6.96313e-07, 0.912653
6.95161e-07, 0.920581
6.94013e-07, 0.931083
6.92869e-07, 0.938968
6.91728e-07, 0.936806
6.90592e-07, 0.938029
6.89459e-07, 0.937243
6.88329e-07, 0.936707
6.87204e-07, 0.937613
6.86082e-07, 0.94587
6.84963e-07, 0.954412
6.83849e-07, 0.958268
6.82738e-07, 0.958888
6.8163e-07, 0.957655
6.80526e-07, 0.957104
6.79426e-07, 0.956092
6.78329e-07, 0.961125
6.77236e-07, 0.966931
6.76146e-07, 0.974438
6.7506e-07, 0.975731
6.73978e-07, 0.977145
6.72898e-07, 0.97413
6.71823e-07, 0.974746
6.7075e-07, 0.974781
6.69681e-07, 0.980591
6.68616e-07, 0.984548
6.67554e-07, 0.989632
6.66495e-07, 0.98975
6.65439e-07, 0.989889
6.64387e-07, 0.987986
6.63339e-07, 0.988788
6.62293e-07, 0.990613
6.61251e-07, 0.994109
6.60212e-07, 0.997017
6.59176e-07, 0.998037
6.58144e-07, 0.998194
6.57115e-07, 0.996813
6.56089e-07, 0.997628
6.55066e-07, 0.997808
6.54047e-07, 1.00052
6.5303e-07, 1.00018
6.52017e-07, 1.00096
6.51007e-07, 0.998145
6.5e-07, 0.998515


