

index_3, Y
1, 17.505
2, 17.5446
3, 17.5592
4, 17.6394
5, 17.8344
6, 18.0993
7, 18.3563
8, 18.5116
9, 18.5828
10, 18.6222
11, 18.7515
12, 18.9843
13, 19.3055
14, 19.5828
15, 19.7668
16, 19.8331
17, 19.9095
18, 20.0853
19, 20.4448
20, 20.906
21, 21.3496
22, 21.616
23, 21.6955
24, 21.7008
25, 21.8631
26, 22.3738
27, 23.2693
28, 24.3152
29, 25.0596
30, 25.168
31, 24.7649
32, 24.5937
33, 25.6883
34, 28.7297
35, 32.5846
36, 34.1635
37, 31.9996
38, 29.3456
39, 36.1061
40, 59.9138
41, 54.6378
42, 42.4992
43, 35.0701
44, 30.2603
45, 26.5825
46, 23.9181
47, 21.4501
48, 19.5828
49, 17.7964
50, 16.1057
51, 14.9991
52, 13.0495
53, 12.7045
54, 10.2955
55, 10.6205
56, 7.90468
57, 8.4942
58, 5.99127
59, 6.1837
60, 4.62977
61, 3.77848
62, 3.88012
63, 2.18293
64, 4.05333
65, 3.72933
66, 5.56691
67, 6.9287
68, 8.61487
69, 11.2397
70, 13.7456
71, 18.0979
72, 23.7984
73, 34.7015
74, 53.7773
75, 35.8426
76, 16.9799
77, 17.473
78, 24.8564
79, 31.4552
80, 29.863
81, 22.969
82, 18.1466
83, 17.3906
84, 19.9779
85, 23.8052
86, 26.2425
87, 25.37
88, 22.3239
89, 19.5513
90, 18.5124
91, 19.4838
92, 21.8021
93, 24.1527
94, 25.0416
95, 23.9364
96, 21.7633
97, 19.9586
98, 19.4329
99, 20.4396
100, 22.4664
101, 24.4725
102, 25.2088
103, 24.2165
104, 22.2301
105, 20.5196
106, 20.007
107, 21.0116
108, 23.0934
109, 25.1939
110, 25.994
111, 24.9363
112, 22.8003
113, 20.9391
114, 20.4039
115, 21.5373
116, 23.876
117, 26.195
118, 27.007
119, 25.7076
120, 23.2765
121, 21.244
122, 20.7659
123, 22.1548
124, 24.8322
125, 27.3498
126, 28.0413
127, 26.3841
