

index_3, Y
1, 13.9675
2, 25.0564
3, 28.6204
4, 19.0476
5, 10.4298
6, 23.9929
7, 59.7825
8, 33.3661
9, 23.2609
10, 24.8444
11, 11.6458
12, 21.2959
13, 19.0528
14, 7.32319
15, 26.9282
16, 12.0249
17, 27.2602
18, 24.254
19, 16.721
20, 35.4782
21, 18.9166
22, 37.8853
23, 26.5751
24, 21.236
25, 39.193
26, 18.0627
27, 37.6327
28, 21.836
29, 16.3334
30, 31.2235
31, 11.708
32, 22.1205
33, 12.2889
34, 8.20921
35, 14.0198
36, 4.44435
37, 7.91995
38, 2.61322
39, 4.08475
40, 3.64747
41, 3.13486
42, 5.09601
43, 4.94068
44, 6.56695
45, 7.89916
46, 10.083
47, 12.5486
48, 17.8899
49, 29.3441
50, 36.8304
51, 12.1958
52, 10.785
53, 16.4504
54, 20.5328
55, 16.703
56, 11.9051
57, 10.5902
58, 12.2199
59, 14.7531
60, 15.8426
61, 14.5601
62, 12.6713
63, 11.7788
64, 12.1403
65, 13.1467
66, 14.0822
67, 14.3987
68, 14.0223
69, 13.3463
70, 12.8401
71, 12.7763
72, 13.2429
73, 13.9969
74, 14.5277
75, 14.4901
76, 14.0129
77, 13.5571
78, 13.5253
79, 13.9323
80, 14.4378
81, 14.7267
82, 14.7291
83, 14.601
84, 14.5487
85, 14.6123
86, 14.7002
87, 14.8071
88, 14.985
89, 15.2212
90, 15.4342
91, 15.5
92, 15.406
93, 15.3377
94, 15.4582
95, 15.7328
96, 15.9998
97, 16.1033
98, 16.0662
99, 16.0811
100, 16.2511
101, 16.483
102, 16.6294
103, 16.6447
104, 16.6496
105, 16.8027
106, 17.083
107, 17.3116
108, 17.3733
109, 17.3414
110, 17.4014
111, 17.6483
112, 17.9581
113, 18.1334
114, 18.1498
115, 18.1744
116, 18.3633
117, 18.6811
118, 18.927
119, 18.9898
120, 19.0162
121, 19.2337
122, 19.6564
123, 20.0227
124, 20.0685
125, 19.8843
126, 19.8925
127, 20.4191
128, 21.3045
129, 21.9561
130, 21.9197
131, 21.4083
132, 21.1158
133, 21.6117
134, 22.8855
135, 24.2944
136, 25.0386
137, 24.8642
138, 24.2258
139, 23.9226
140, 24.7596
141, 27.2222
142, 30.7444
143, 33.1623
144, 32.4992
145, 29.8598
146, 30.2674
147, 44.9502
148, 61.0595
149, 49.1743
150, 39.3295
151, 33.1089
152, 28.8618
153, 25.7726
154, 22.8056
155, 20.9569
156, 18.9041
157, 16.7652
158, 16.1557
159, 13.568
160, 12.9638
161, 11.9025
162, 9.64642
163, 10.2263
164, 7.5828
165, 7.35009
166, 6.86347
167, 4.76913
168, 5.48178
169, 3.4931
170, 3.8176
171, 3.56186
172, 3.59475
173, 4.8439
174, 5.30449
175, 7.22745
176, 8.96034
177, 11.1939
178, 14.53
179, 18.9051
180, 25.9995
181, 40.1408
182, 59.1604
183, 25.9712
184, 13.0935
185, 18.5574
186, 29.6438
187, 36.5828
188, 28.4172
189, 18.8016
190, 15.2415
191, 17.6375
192, 23.1561
193, 27.769
194, 27.2954
195, 23.1202
196, 19.4445
197, 18.0896
198, 19.1019
199, 21.51
200, 23.8242
201, 24.8038
202, 24.1137
203, 22.3852
204, 20.6608
205, 19.7448
206, 19.9627
207, 21.3203
208, 23.3749
209, 25.0817
210, 25.2666
211, 23.6171
212, 21.1439
213, 19.4349
214, 19.6611
215, 21.943
216, 25.2098
217, 27.2452
218, 26.1834
219, 22.979
220, 20.1435
221, 19.4169
222, 21.2294
223, 24.5479
224, 27.1715
225, 27.1229
226, 24.7641
227, 22.1608
228, 20.9602
229, 21.6362
230, 23.5408
231, 25.4711
232, 26.3459
233, 25.8982
234, 24.7634
235, 23.7285
236, 23.2032
237, 23.2912
238, 23.885
239, 24.7513
240, 25.6731
241, 26.377
242, 26.5213
243, 25.9317
244, 24.7716
245, 23.5867
246, 23.1763
247, 24.1108
248, 26.2385
249, 28.4993
250, 29.2092
251, 27.5228
252, 24.6001
253, 22.4768
254, 22.6309
255, 25.282
256, 29.0348
257, 31.2499
258, 30.0532
259, 26.595
260, 23.5115
261, 22.702
262, 24.5957
263, 28.037
264, 30.8704
265, 31.192
266, 29.1229
267, 26.4697
268, 24.8426
269, 24.9091
270, 26.504
271, 28.8262
272, 30.7958
273, 31.5573
274, 30.8387
275, 29.0315
276, 27.0066
277, 25.8166
278, 26.4827
279, 29.5968
280, 34.3807
281, 37.8599
282, 36.5466
283, 30.9852
284, 25.137
285, 24.5245
286, 35.8282
287, 55.5684
288, 54.6567
289, 41.2219
290, 31.0866
291, 23.9392
292, 18.7133
293, 14.6485
294, 11.4792
295, 9.34966
296, 8.11898
297, 8.17953
298, 9.1207
299, 10.6419
300, 12.582
301, 14.5807
302, 16.803
303, 19.1754
304, 21.7037
305, 24.6285
306, 28.0174
307, 32.1346
308, 37.3822
309, 44.1321
310, 52.128
311, 56.7479
312, 49.9627
313, 40.6733
314, 37.5427
315, 38.5215
316, 39.8978
317, 39.7174
318, 38.1701
319, 36.6957
320, 36.2147
321, 36.4043
322, 36.474
323, 36.1459
324, 35.7404


