[nGx *  nGy]
***
[wn *  Rotation * Transmitance ]
0.545064	,	34.27743	,	1
0.545264	,	35.90152	,	1
0.545483	,	36.09485	,	1
0.545672	,	34.78903	,	1
0.54582	,	32.96218	,	1
0.545949	,	30.99473	,	1
0.546058	,	29.36435	,	1
0.546166	,	27.58967	,	1
0.546295	,	25.77954	,	1
0.546453	,	23.80486	,	1
0.546651	,	22.10635	,	1
0.54687	,	21.06378	,	1
0.547089	,	21.02235	,	1
0.547309	,	21.98898	,	1
0.547509	,	23.71203	,	1
0.54767	,	25.70359	,	1
0.5478	,	27.55169	,	1
0.547921	,	29.46308	,	1
0.548031	,	31.15676	,	1
0.548152	,	32.99473	,	1
0.548312	,	34.78376	,	1
0.548512	,	36.06723	,	1
0.548731	,	35.67367	,	1
0.54892	,	33.95359	,	1
0.549068	,	31.89889	,	1
0.549197	,	29.90612	,	1
0.549305	,	28.22511	,	1
0.549424	,	26.37629	,	1
0.549552	,	24.84283	,	1
0.549721	,	22.96941	,	1
0.549939	,	21.45043	,	1
0.550158	,	20.91878	,	1
0.550377	,	21.26401	,	1
0.550597	,	22.63109	,	1
0.550778	,	24.45585	,	1
0.550908	,	26.08334	,	1
0.551039	,	28.05802	,	1
0.551169	,	30.08334	,	1
0.5513	,	32.02909	,	1
0.551461	,	34.09178	,	1
0.551661	,	35.73581	,	1
0.55188	,	35.867	,	1
0.552069	,	34.57068	,	1
0.552217	,	32.84283	,	1
0.552356	,	30.78135	,	1
0.552484	,	28.77954	,	1
0.552612	,	26.85368	,	1
0.552751	,	25.04175	,	1
0.552899	,	23.35865	,	1
0.553088	,	21.8647	,	1
0.553307	,	20.96711	,	1
0.553526	,	20.98783	,	1
0.553746	,	21.85779	,	1
0.553946	,	23.50106	,	1
0.554106	,	25.33469	,	1
0.554237	,	27.12131	,	1
0.554347	,	28.72638	,	1
0.554458	,	30.42511	,	1
0.554588	,	32.34374	,	1
0.554749	,	34.28587	,	1
0.554919	,	35.596	,	1
