

lambda(m), Y
3.9e-06, 0.981091
3.83607e-06, 0.98158
3.77419e-06, 0.982896
3.71429e-06, 0.985012
3.65625e-06, 0.9878
3.6e-06, 0.991025
3.54545e-06, 0.994355
3.49254e-06, 0.99737
3.44118e-06, 0.999592
3.3913e-06, 1.00051
3.34286e-06, 0.999597
3.29577e-06, 0.99638
3.25e-06, 0.990437
3.20548e-06, 0.981448
3.16216e-06, 0.969214
3.12e-06, 0.953683
3.07895e-06, 0.934952
3.03896e-06, 0.913272
3e-06, 0.889033
2.96203e-06, 0.862744
2.925e-06, 0.834998
2.88889e-06, 0.806437
2.85366e-06, 0.777711
2.81928e-06, 0.749438
2.78571e-06, 0.72217
2.75294e-06, 0.696369
2.72093e-06, 0.672389
2.68966e-06, 0.65047
2.65909e-06, 0.630748
2.62921e-06, 0.613267
2.6e-06, 0.597998
2.57143e-06, 0.584865
2.54348e-06, 0.573765
2.51613e-06, 0.564591
2.48936e-06, 0.557247
2.46316e-06, 0.551653
2.4375e-06, 0.547751
2.41237e-06, 0.545499
2.38776e-06, 0.544866
2.36364e-06, 0.545824
2.34e-06, 0.548337
2.31683e-06, 0.552355
2.29412e-06, 0.557812
2.27184e-06, 0.564628
2.25e-06, 0.572713
2.22857e-06, 0.581974
2.20755e-06, 0.592332
2.18692e-06, 0.603724
2.16667e-06, 0.616121
2.14679e-06, 0.629525
2.12727e-06, 0.643979
2.10811e-06, 0.659554
2.08929e-06, 0.676341
2.0708e-06, 0.694433
2.05263e-06, 0.713904
2.03478e-06, 0.734788
2.01724e-06, 0.75705
2e-06, 0.780568
1.98305e-06, 0.805117
1.96639e-06, 0.83036
1.95e-06, 0.855847


