

index_3, Y
1, 0.96942
2, 0.471139
3, 0.927115
4, 1.57051
5, 1.91555
6, 2.46753
7, 3.7491
8, 5.21062
9, 6.15758
10, 6.80565
11, 8.2656
12, 10.7389
13, 12.7887
14, 13.6597
15, 14.7354
16, 17.9066
17, 21.8257
18, 23.6637
19, 24.1585
20, 27.1334
21, 33.567
22, 37.7726
23, 38.1724
24, 39.9285
25, 48.4629
26, 56.5652
27, 57.5781
28, 57.7114
29, 65.6102
30, 77.5861
31, 78.7251
32, 77.7749
33, 81.4888
34, 84.3084
35, 81.9932
36, 82.6118
37, 84.6815
38, 84.8006
39, 78.6105
40, 72.8057
41, 66.3
42, 59.9508
43, 54.8767
44, 52.8762
45, 52.887
46, 38.0796
47, 29.7757
48, 27.9828
49, 29.2153
50, 34.0163
51, 47.133
52, 75.603
53, 59.2888
54, 59.6782
55, 56.1935
56, 24.223
57, 6.85985
58, 3.85917
59, 9.08499
60, 11.4898
61, 9.94385
62, 8.21898
63, 8.7325
64, 10.9655
65, 15.4727
66, 24.4317
67, 7.67874
68, 9.19481
69, 13.7739
70, 29.2674
71, 7.30054
72, 2.07192
73, 4.7559
74, 5.94974
75, 6.35756
76, 6.32828
77, 6.46198
78, 6.7488
79, 6.90344
80, 6.90112
81, 7.08366
82, 7.63299
83, 7.65478
84, 7.30648
85, 7.02588
86, 6.98685
87, 7.06861
88, 7.09485
89, 7.26287
90, 9.10385
91, 9.69002
92, 8.81704
93, 8.12841
94, 7.69874
95, 7.72436
96, 8.25263
97, 8.73901
98, 8.80241
99, 8.49916
100, 7.99395
101, 7.59427
102, 7.5302
103, 7.65645
104, 7.63651
105, 7.28304
106, 6.96864
107, 7.75229
108, 9.59276
109, 10.2195


