

lambda(m), Y
3.9e-06, 0.975879
3.83607e-06, 0.977273
3.77419e-06, 0.979704
3.71429e-06, 0.982993
3.65625e-06, 0.986861
3.6e-06, 0.990943
3.54545e-06, 0.994801
3.49254e-06, 0.997949
3.44118e-06, 0.999876
3.3913e-06, 1.00007
3.34286e-06, 0.998063
3.29577e-06, 0.993425
3.25e-06, 0.985831
3.20548e-06, 0.975071
3.16216e-06, 0.961071
3.12e-06, 0.943913
3.07895e-06, 0.923834
3.03896e-06, 0.901215
3e-06, 0.876563
2.96203e-06, 0.850474
2.925e-06, 0.823594
2.88889e-06, 0.796573
2.85366e-06, 0.770023
2.81928e-06, 0.744481
2.78571e-06, 0.720378
2.75294e-06, 0.698026
2.72093e-06, 0.677613
2.68966e-06, 0.659215
2.65909e-06, 0.642812
2.62921e-06, 0.628316
2.6e-06, 0.615597
2.57143e-06, 0.604512
2.54348e-06, 0.594926
2.51613e-06, 0.586725
2.48936e-06, 0.579827
2.46316e-06, 0.57418
2.4375e-06, 0.569756
2.41237e-06, 0.566539
2.38776e-06, 0.564514
2.36364e-06, 0.563662
2.34e-06, 0.563943
2.31683e-06, 0.565303
2.29412e-06, 0.567674
2.27184e-06, 0.570985
2.25e-06, 0.575172
2.22857e-06, 0.580195
2.20755e-06, 0.586055
2.18692e-06, 0.592803
2.16667e-06, 0.600546
2.14679e-06, 0.609451
2.12727e-06, 0.619733
2.10811e-06, 0.631641
2.08929e-06, 0.645432
2.0708e-06, 0.661342
2.05263e-06, 0.679555
2.03478e-06, 0.700166
2.01724e-06, 0.723153
2e-06, 0.748348
1.98305e-06, 0.775428
1.96639e-06, 0.803905
1.95e-06, 0.833134


