

lambda(m), Y
1.61379e-06, 0.66102
1.61276e-06, 0.582976
1.61173e-06, 0.508272
1.6107e-06, 0.442188
1.60968e-06, 0.379697
1.60865e-06, 0.317326
1.60763e-06, 0.260652
1.6066e-06, 0.216268
1.60558e-06, 0.182005
1.60456e-06, 0.150821
1.60354e-06, 0.121293
1.60252e-06, 0.0980151
1.60151e-06, 0.0825195
1.60049e-06, 0.0700737
1.59948e-06, 0.0568658
1.59847e-06, 0.0450779
1.59746e-06, 0.0379021
1.59645e-06, 0.0335524
1.59544e-06, 0.0281609
1.59443e-06, 0.0219842
1.59342e-06, 0.0182618
1.59242e-06, 0.0171504
1.59142e-06, 0.0153845
1.59041e-06, 0.011974
1.58941e-06, 0.00975381
1.58841e-06, 0.0100947
1.58741e-06, 0.0102404
1.58642e-06, 0.00816156
1.58542e-06, 0.0063646
1.58443e-06, 0.00753014
1.58343e-06, 0.00932968
1.58244e-06, 0.00801936
1.58145e-06, 0.00534446
1.58046e-06, 0.00638474
1.57947e-06, 0.0105407
1.57848e-06, 0.010724
1.5775e-06, 0.00450598
1.57651e-06, 0.00186021
1.57553e-06, 0.0170778
1.57455e-06, 0.0531544
1.57357e-06, 0.0954216
1.57259e-06, 0.119612
1.57161e-06, 0.108421
1.57063e-06, 0.068669
1.56965e-06, 0.0362357
1.56868e-06, 0.05301
1.5677e-06, 0.12344
1.56673e-06, 0.195744
1.56576e-06, 0.204474
1.56479e-06, 0.139726
1.56382e-06, 0.0597573
1.56285e-06, 0.0235928
1.56189e-06, 0.0273932
1.56092e-06, 0.0301012
1.55996e-06, 0.0289571
1.55899e-06, 0.0678704
1.55803e-06, 0.159619
1.55707e-06, 0.244569
1.55611e-06, 0.269327
1.55515e-06, 0.279942
1.5542e-06, 0.369846
1.55324e-06, 0.52383
1.55229e-06, 0.584661
1.55133e-06, 0.434729
1.55038e-06, 0.173314
1.54943e-06, 0.0285687
1.54848e-06, 0.0848204
1.54753e-06, 0.182099
1.54658e-06, 0.141258
1.54564e-06, 0.0241643
1.54469e-06, 0.0679953
1.54375e-06, 0.36555
1.5428e-06, 0.720208
1.54186e-06, 0.880153
1.54092e-06, 0.843236
1.53998e-06, 0.826693
1.53904e-06, 0.952209
1.5381e-06, 1.07804
1.53717e-06, 0.997276
1.53623e-06, 0.723328
1.5353e-06, 0.486391
1.53437e-06, 0.471196
1.53343e-06, 0.649051
1.5325e-06, 0.875594
1.53157e-06, 1.05372
1.53065e-06, 1.13807
1.52972e-06, 1.05915
1.52879e-06, 0.772259
1.52787e-06, 0.395412
1.52694e-06, 0.190599
1.52602e-06, 0.324885
1.5251e-06, 0.680993
1.52418e-06, 0.970221
1.52326e-06, 1.02508
1.52234e-06, 0.925504
1.52142e-06, 0.842115
1.52051e-06, 0.83393
1.51959e-06, 0.844138
1.51868e-06, 0.836197
1.51777e-06, 0.849525
1.51685e-06, 0.919582
1.51594e-06, 1.01055
1.51503e-06, 1.05788
1.51413e-06, 1.03698
1.51322e-06, 0.957581
1.51231e-06, 0.828578
1.51141e-06, 0.681559
1.5105e-06, 0.610387
1.5096e-06, 0.711754


