

index_3, Y
1, 22.0467
2, 24.2363
3, 25.7181
4, 25.8259
5, 24.7206
6, 23.2346
7, 22.2166
8, 22.2115
9, 23.5455
10, 25.9174
11, 28.2815
12, 29.5291
13, 29.184
14, 27.675
15, 25.9601
16, 24.9711
17, 25.3778
18, 27.2811
19, 29.9515
20, 32.209
21, 33.0537
22, 32.2426
23, 30.4281
24, 28.6823
25, 28.0048
26, 28.94
27, 31.2142
28, 33.895
29, 35.8581
30, 36.2688
31, 35.1102
32, 33.2045
33, 31.6661
34, 31.4045
35, 32.7063
36, 35.0799
37, 37.5939
38, 39.2357
39, 39.3275
40, 38.024
41, 36.2181
42, 34.9548
43, 34.9805
44, 36.4188
45, 38.7416
46, 41.0821
47, 42.5121
48, 42.4525
49, 41.1416
50, 39.4615
51, 38.3629
52, 38.4979
53, 39.9598
54, 42.2489
55, 44.529
56, 45.8841
57, 45.7549
58, 44.415
59, 42.7496
60, 41.6814
61, 41.856


